,Url,Name,Location,Date,Text_num,Img_num,History,edit_year,Age
793,https://www.scottishbrickhistory.co.uk/scottish-brick-company-174-west-george-street-glasgow/,Scottish Brick Company," 174 West George Street, Glasgow",2015/1/2,9800,12,"['1969', '1973', '1973', '1973', '1973', '1975', '1976', '1994', '1995', '2018']",2015,49
288,https://www.scottishbrickhistory.co.uk/crown-fire-clay-works-gallowgate-glasgow/,Crown Fire Clay Works," Gallowgate, Glasgow",2015/2/5,8446,12,"['1872-1873', '1890-91', '1891-92', '1892-1893', '1893', '1895-1896', '1900-1901', '1906-1907', '1907', '1907', '1910', '1914', '1915-1916', '1918-1919', '1929-1930', '1934-1935', '1936-1937', '1936-1937', '1947', '1931', '1933', '1840-1841', '1843-184412', '1838-1839']",2015,34
935,https://www.scottishbrickhistory.co.uk/westthorn-brickworks-london-road-glasgow/,Westthorn Brickworks," London Road, Glasgow",2015/4/15,1975,5,"['1870', '1877', '1892', '1892', '1904-1905', '1905', '1907', '1912', '1923-1924']",2015,53
313,https://www.scottishbrickhistory.co.uk/darnley-fireclay-works-nitshill-glasgow/,Darnley Fireclay Works," Nitshill, Glasgow",2015/6/15,4648,10,"['1851', '1858', '1868', '1882-1885', '1886-1889', '1892', '1896', '1896', '1896', '1899', '1905-1906', '1910', '1910', '1912-1913', '1915', '1920-1921', '1923-1924', '1936-1937', '1938-1939']",2015,87
949,https://www.scottishbrickhistory.co.uk/william-baird-and-co/,William Baird and Co Ltd, Glasgow,2015/6/18,6523,2,"['1816', '1822', '1825', '1828', '1830', '1843', '1845', '1878', '1896', '1910', '1913', '1939', '1939-1940', '1946', '1951', '1961', '1992', '1994', '1994', '1999', '1863-1864', '1872-1873', '1905-1906', '1959']",2015,143
348,https://www.scottishbrickhistory.co.uk/dubs-co-polmadie-glasgow-2/,Dubs & Co," Polmadie, Glasgow",2015/6/18,1931,2,"['1863', '1866', '1867', '1868', '1876', '1903']",2015,40
66,https://www.scottishbrickhistory.co.uk/barlinnie-fireclay-works-cumbernauld-road-glasgow/,Barlinnie Fireclay Works," Cumbernauld Road, Glasgow",2015/6/24,3664,2,"['1880', '1886', '1892-1893', '1893', '1895-1896', '1896', '1896', '1896', '1896-1897', '1897', '1897-1898', '1898-1899', '1900-1901', '1900-1901', '1910']",2015,30
148,https://www.scottishbrickhistory.co.uk/broomloan-brickworks-govan-glasgow/,Broomloan Brickworks," Govan, Glasgow",2015/7/10,610,4,"['1856', '1856', '1857', '1857']",2015,1
894,https://www.scottishbrickhistory.co.uk/tylefield-street-brickworks-gallowgate-glasgow/,Tylefield Street Brickworks," Gallowgate, Glasgow",2015/8/10,1057,1,"['1825', '1835-1836', '1837', '1840-1841', '1841', '1849-1850', '1857']",2015,32
529,https://www.scottishbrickhistory.co.uk/jeanfield-or-janefield-brickworks-london-road-glasgow/,Jeanfield or Janefield Brickworks," London Road, Glasgow",2015/8/10,3694,4,"['1858', '1869', '1871-1872', '1872-1873', '1878', '1878', '1878', '1882-1883', '1882', '1883-1884', '1883', '1884', '1885', '1886', '1889', '1892', '1892-1893', '1910', '1892', '1892', '1903', '1903', '1904-1905', '1907', '1911', '1911', '1920']",2015,62
