,Url,Name,Location,Date,Text_num,Img_num,History,edit_year,Age
533,https://www.scottishbrickhistory.co.uk/john-gilchrist-stein-fire-brick-manufacturer-history-2/,John Gilchrist Stein, fire brick manufacturer – History,2014-01-09,23017,17,"['1868', '1868', '1887', '1896', '1902', '1907', '1925', '1927', '1927', '1931', '1937', '1940', '1949', '1951']",2014,83.0
669,https://www.scottishbrickhistory.co.uk/national-coal-board-1947-1969-scottish-brickwork-sites/,National Coal Board (1947-1969) – Scottish brickwork sites,location not found,2014-01-09,2228,1,['1949'],2014,
721,https://www.scottishbrickhistory.co.uk/perceton-fire-clay-works-kilmarnock-east-ayrshire/,Perceton Fire Clay Works," Kilmarnock, East Ayrshire",2014-02-10,61645,52,"['1847', '1852', '1855-1863', '1856', '1856', '1857', '1857', '1858-1859', '1861', '1861', '1862', '1863', '1865', '1866', '1865', '1866', '1867', '1867', '1868', '1868', '1868', '1868', '1869', '1869', '1870', '1872', '1872', '1872', '1872', '1872', '1872', '1872', '1874', '1875', '1875', '7', '1878', '1880', '1880', '1880', '1881', '1882', '1883', '1883', '1884', '1884', '1885', '1886', '1886', '1886', '1886', '1886', '1886', '1886-1887', '1888', '1888', '1888', '1889-1890', '1889', '1889', '1889', '1892', '1893', '1893-1896', '1894', '1894', '1896', '1896', '1896-1897', '1901', '1903', '1907', '1910', '1910', '1915', '1910', '1918', '1918', '1931', '2016']",2014,169.0
445,https://www.scottishbrickhistory.co.uk/glenboig-union-fireclay-company-glenboig-north-lanarkshire-history/,Glenboig Union Fireclay Company," Glenboig, North Lanarkshire – History.",2014-03-08,77591,101,"['1836', '1841-1842', '1843-1844', '1843-1844', '1846-1847', '1846', '1847', '1849-1850', '1849-1850', '1850', '1850', '1850', '1851', '1852', '1853', '1855', '1856', '1858', '1858', '1858-1861', '1860', '1860', '1861', '1861-1862', '1865', '1865', '1866', '1866', '1871', '1872', '1872-1873', '1878', '1878', '1878', '1880', '1881', '1881', '1881', '1881', '1882', '1882', '1882', '1882', '1883-1897', '1883', '1883', '1883', '1883', '1884', '1885', '1885', '1885', '1886', '1886', '1886', '1886', '1887', '1888', '1888', '1889', '1890', '1890', '1890', '1890', '1890-91', '1891', '1891', '1891', '1891-1892', '1891-92', '1892', '1893', '1894', '1894', '1894', '1895', '1896', '1897', '1897', '1898', '1898', '1899', '1899', '1899', '1900', '1901', '1901', '1901', '1901', '1901', '1903', '1903', '1904', '1904-1905', '1906', '1907', '1908', '1909', '1909', '1909', '1909', '1909', '1910', '1912', '1912', '1913', '1915-1916', '1916', '1919', '1910', '1921', '1921', '1928', '1929', '1929', '1930', '1932', '1932', '1934', '1935', '1935', '1936', '1937', '1937', '1937', '1937', '1937', '1937', '1937', '1938', '1939', '1939-1940', '1944-1967', '1944', '1945', '1949', '1951', '1954', '1957', '1958', '1960', '1964', '1967', '1974', '1978', '1921', '1934']",2014,98.0
622,https://www.scottishbrickhistory.co.uk/manuel-fire-brick-and-refractory-works-whitecross-linlithgow-stirlingshire/,Manuel Fire Brick and Refractory Works," Whitecross, Linlithgow, Stirlingshire",2014-04-28,14825,20,"['1928', '1929', '1930', '1930', '1930', '1931', '1931', '1931', '1931', '1932', '1933-1943', '1938', '1944-1967', '1948', '1948', '1951', '1954', '1956', '1963', '1965', '1967', '1969', '1970', '1985', '1987', '1988', '1991', '1996', '1997', '1998', '1999', '2001', '2012', '2020', '2002']",2014,74.0
792,https://www.scottishbrickhistory.co.uk/scottish-borders-brick-and-tile-works/,Scottish Borders Brick and Tile Works,location not found,2014-08-12,3621,1,['1871'],2014,
290,https://www.scottishbrickhistory.co.uk/cruden-bay-brickworks-cruden-aberdeenshire/,Cruden Bay Brickworks," Cruden, Aberdeenshire",2014-08-14,26867,23,"['1885', '1886', '1899', '1903', '1903', '1903', '1903', '1905', '1905', '1906', '1907', '1908', '1908', '1909', '1910', '1911', '1912-1913', '1913', '1918', '1920', '1921', '1923-1924', '1927', '1927', '1928', '1929', '1930', '1931', '1931', '1932', '1937', '1942-1943', '1947', '1950', '1950', '1952', '1954', '1957', '1970', '1970', '1970', '1971', '1977', '1979', '5', '1983']",2014,98.0
749,https://www.scottishbrickhistory.co.uk/prestongrange-brick-and-tile-works-prestonpans-east-lothian/,Prestongrange Brick and Tile Works," Prestonpans, East Lothian",2014-08-18,25766,32,"['1799', '1729', '1760', '1761', '1806', '1812-1833', '1816', '1825-1826', '1834', '1837', '1837-1860', '1848', '1849', '1850', '1851', '1853', '1853', '1855', '1855', '1861', '1869', '1877', '1877', '1878', '1880', '1881', '1884', '1885', '1886', '1887', '1887', '1888', '1888', '1892', '1893', '1893', '1893', '1893', '1895', '1895', '1895', '1895', '1896', '1897', '1899', '1904', '1905', '1906', '1907', '1910', '1911', '1921', '1929', '1938', '1944-1963', '1947', '1962', '1969', '1975', '2018']",2014,219.0
50,https://www.scottishbrickhistory.co.uk/ayrshire-bauxitic-clay-company-ltd/,Ayrshire Bauxitic Clay Company Ltd, East Ayrshire,2014-08-22,5368,2,"['1938', '1944-1967']",2014,6.0
326,https://www.scottishbrickhistory.co.uk/douglas-firebrick-company-dalry-north-ayshire/,Douglas Firebrick Company," Dalry, North Ayshire",2014-08-24,12762,12,"['1914', '1941', '1944-1967', '1947', '1953', '1960-1970', '1968', '1970', '1981', '1982']",2014,68.0
