,Mark,belong,url
0,A,My own brick examples,https://www.scottishbrickhistory.co.uk/a/
1,A/8 315 Y,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/a-8-315y/
2,AARON & CO  ,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/aaron-co/
3,ABERCORN,My own brick examples,https://www.scottishbrickhistory.co.uk/abercorn/
4,ABERCORN,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/?p=74475&preview=true
5,ABERCORN COY INKERMANN PAISLEY,My own brick examples,https://www.scottishbrickhistory.co.uk/abercorn-coy-inkermann-paisley/
6,ABL,My own brick examples,https://www.scottishbrickhistory.co.uk/a-b-l/
7,A & J MCDONALD PATENT GLASGOW,My own brick examples,https://www.scottishbrickhistory.co.uk/a-j-macdonald-patent-glasgow-2/
8,A BALD ALLOA,My own brick examples,https://www.scottishbrickhistory.co.uk/a-bald-alloa/
9,A BALD ALLOA,My own brick examples,https://www.scottishbrickhistory.co.uk/a-bald-alloa-3/
10,A BALD ALLOA,My own brick examples,https://www.scottishbrickhistory.co.uk/?p=50631&preview=true
11,A BALD ALLOA,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/a-bald-alloa-5/
12,A DOUGLAS,My own brick examples,https://www.scottishbrickhistory.co.uk/a-douglas/
13,A DUNCAN PATENT DUMBARTON,My own brick examples,https://www.scottishbrickhistory.co.uk/a-duncan-patent-dumbarton/
14,A GARTCOSH,My own brick examples,https://www.scottishbrickhistory.co.uk/a-gartcosh/
15,A GARTCRAIG,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/a-gartcraig/
16,A GLENBOIG,My own brick examples,https://www.scottishbrickhistory.co.uk/a-glenboig/
17,A GLENBOIG HD 77,My own brick examples,https://www.scottishbrickhistory.co.uk/a-glenboig-hd-77/
18,A LIVINGSTONE & SON PATENT PORTOBELLO,My own brick examples,https://www.scottishbrickhistory.co.uk/a-livingston-son-patent-portobello/
19,A.PATRICK & CO CROWN BRAND,My own brick examples,https://www.scottishbrickhistory.co.uk/a-patrick-co-crown-brand/
20,AR,My own brick examples,https://www.scottishbrickhistory.co.uk/a-r-4/
21,AR,My own brick examples,https://www.scottishbrickhistory.co.uk/a-r/
22,AR,My own brick examples,https://www.scottishbrickhistory.co.uk/a-r-2/
23,AR,My own brick examples,https://www.scottishbrickhistory.co.uk/a-r-3/
24,A R ADAMANTINE 2015      ,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/a-r-adamantine-2105-2/
25,A ROXX 144 ND,Brick maker is unknown but found in Scottish,https://www.scottishbrickhistory.co.uk/a-roxx-144-nd/
26,A & T BOW GLASGOW,My own brick examples,https://www.scottishbrickhistory.co.uk/a-t-bow-glasgow-2/
27,A & T BOW GLASGOW,My own brick examples,https://www.scottishbrickhistory.co.uk/a-t-bow-glasgow/
28,A_& T BOW PATENT GLASGOW,My own brick examples,https://www.scottishbrickhistory.co.uk/a-t-bow-patent-glasgow/
29,A THOMSON PATENT GLASGOW,My own brick examples,https://www.scottishbrickhistory.co.uk/a-thomson-patent-glasgow/
30,A THOMSON & SONS GLASGOW,My own brick examples,https://www.scottishbrickhistory.co.uk/a-thomson-sons-glasgow/
31,ABERCORN COY INKERMANN PAISLEY,My own brick examples,https://www.scottishbrickhistory.co.uk/abercorn-coy-inkermann-paisley/
32,ABERDEEN BRICK & TILE CO CLAYHILLS,Other collectors or those I have left in situ,https://www.scottishbrickhistory.co.uk/aberdeen-brick-tile-co-clayhills/
33,ADAM,My own brick examples,https://www.scottishbrickhistory.co.uk/adam/
34,ADAM,My own brick examples,https://www.scottishbrickhistory.co.uk/adam-2/
35,ADAM,My own brick examples,https://www.scottishbrickhistory.co.uk/adam-3/
36,ADAM,My own brick examples,https://www.scottishbrickhistory.co.uk/adam-4/
37,ADAM RUTHERGLEN,My own brick examples,https://www.scottishbrickhistory.co.uk/adam-rutherglen-2/
