,mark,tag
0,A,Atlas
1,A/8 315 Y,Alro
2,A/8 315 Y,GR - Stein Refractories
3,ABERCORN,Abercorn
4,ABERCORN,Abercorn
5,ABERCORN,Chimney
6,ABERCORN COY INKERMANN PAISLEY,Abercorn oil company
7,ABERCORN COY INKERMANN PAISLEY,Inkerman
8,ABL,Avonbridge
9,A & J MCDONALD PATENT GLASGOW,A and J MacDonald
10,A BALD ALLOA,Alexander Bald
11,A BALD ALLOA,Alloa Brick and Tile Works
12,A BALD ALLOA,Alexander Bald
13,A BALD ALLOA,Alloa Brick and Tile Works
14,A BALD ALLOA,Alexander Bald
15,A BALD ALLOA,Alloa Brick and Tile Works
16,A BALD ALLOA,Alexander Bald
17,A DOUGLAS,Douglas Firebrick Company
18,A DUNCAN PATENT DUMBARTON,Agnes Duncan
19,A GARTCOSH,Fingerprint
20,A GARTCOSH,Gartcosh
21,A GARTCRAIG,Gartcraig
22,A GARTCRAIG,USA
23,A GLENBOIG,Glenboig
24,A GLENBOIG HD 77,Glenboig
25,A LIVINGSTONE & SON PATENT PORTOBELLO,Abercorn
26,A LIVINGSTONE & SON PATENT PORTOBELLO,Allan Livingston
27,A LIVINGSTONE & SON PATENT PORTOBELLO,Portobello
28,A.PATRICK & CO CROWN BRAND,Crown Fire Clay Works
29,AR,Archibald Russell
30,AR,Tannochside
31,AR,Archibald Russell
32,AR,Tannochside
33,AR,Archibald Russell
34,AR,Tannochside
35,AR,Archibald Russell
36,AR,Tannochside
37,A R ADAMANTINE 2015      ,Adamantine
38,A R ADAMANTINE 2015      ,John Gilchrist Stein
39,A ROXX 144 ND,John Gilchrist Stein
40,A ROXX 144 ND,Nettle
41,A & T BOW GLASGOW,A and T Bow
42,A & T BOW GLASGOW,A and T Bow
43,A & T BOW PATENT GLASGOW,A and T Bow
44,A THOMSON PATENT GLASGOW,Alexander Thomson
45,A THOMSON & SONS GLASGOW,Alexander Thomson
46,ABERCORN COY INKERMANN PAISLEY,Abercorn oil company
47,ABERCORN COY INKERMANN PAISLEY,Inkerman
48,ADAM,R and D Adam
49,ADAM,R and D Adam
50,ADAM,R and D Adam
51,ADAM,R and D Adam
52,ADAM RUTHERGLEN,R and D Adam
53,ADAM RUTHERGLEN,Rutherglen
54,ADAM RUTHERGLEN,R and D Adam
55,ADAM RUTHERGLEN,Rutherglen
56,ADAMANTINE D C        ,Adamantine
57,AFTON,Afton Brick and Tile Works
58,AFTON,Avonbridge
59,AFTON,Afton Brick and Tile Works
60,AFTON,Afton Brick and Tile Works
61,AFTON,Avonbridge
62,AFTON,Afton Brick and Tile Works
63,AFTON,Afton Brick and Tile Works
64,AFTON,Avonbridge
65,AFTON,Afton Tileworks
66,AFTON,Messrs Dickenson and Co
67,AFTON NEW CUMNOCK,Afton Brick and Tile Works
68,AFTON NEW CUMNOCK,Afton Brick and Tile Works
69,AFTON NEW CUMNOCK,Afton Brick and Tile Works
70,AFTON NEW CUMNOCK,Afton Brick and Tile Works
71,AFTON NEW CUMNOCK,Afton Brick and Tile Works
72,AFTON 1963,Afton Brick and Tile Works
73,AFTON 1963,Avonbridge
74,AFTON 1963,CORED
75,AFTON 1963,Dated
76,AFTON 68 (T)HISTLE,Afton Brick and Tile Works
77,AFTON 68 (T)HISTLE,Avonbridge
78,AFTON 68 (T)HISTLE,CORED
79,AFTON 68 (T)HISTLE,Dated
80,AFTON 69,Afton Brick and Tile Works
81,AFTON 69,Avonbridge
82,AFTON 69,CORED
83,AFTON 69,Dated
84,AFTON 73,Afton Brick and Tile Works
85,AFTON 73,CORED
86,AFTON 73,Dated
87,AFTON 74,Afton Brick and Tile Works
88,AFTON 74,CORED
89,AFTON 74,Dated
90,AFTON 75,Afton Brick and Tile Works
91,AIRDRIE,Airdrie Brick Co
92,AIRDRIE,Airdrie Brickworks
93,AIRDRIE,Airdrie Brick Co
94,AIRDRIE,Airdrie Brickworks
95,ALCRO 2475,Alcro
96,ALCRO 2475,John Gilchrist Stein
97,"ALEXR WILSON & SON TERRACOTTA MANUFACTURERS, LOCHHEAD WORKS DUNFERMLINE NB",Alexander Wilson
98,"ALEXR WILSON & SON TERRACOTTA MANUFACTURERS, LOCHHEAD WORKS DUNFERMLINE NB",Lochhead
99,ALEXR WILSON & SON TERRACOTTA MANFTRS LOCHHEAD DUNFERMLINE,Alexander Wilson
100,ALEXR WILSON & SON TERRACOTTA MANFTRS LOCHHEAD DUNFERMLINE,Lochhead
101,ALEX WHITELAW & CO BISHOPTON PATENT,Alexander Whitelaw
102,ALEX WHITELAW & CO BISHOPTON PATENT,Darngavil
103,ALEX WHITELAW & CO BISHOPTON PATENT,Alexander Whitelaw
104,ALEX WHITELAW & CO BISHOPTON PATENT,Darngavil
105,ALLAN (& MANN) GOVAN (PATENT) GLASGOW,Allan and Mann
106,ALLAN & MANN GLASGOW,Allan and Mann
107,ALLAN & MANN MAKERS GLASGOW,Allan and Mann
108,ALLAN & MANN MAKERS GLASGOW,trough
109,ALLAN & MANN PATENT GLASGOW,Allan and Mann
110,ALLAN & MANN PATENT GLASGOW,Allan and Mann
111,ALLAN & MANN PATENT GLASGOW,Allan and Mann
112,ALLAN & MANN PATENT GLASGOW,Allan and Mann
